Date,Open,High,Low,Close,Adj Close,Volume
2023-08-23,4396.439941,4443.180176,4396.439941,4436.009766,4436.009766,3837270000
2023-08-24,4455.160156,4458.299805,4375.549805,4376.310059,4376.310059,3723470000
2023-08-25,4389.379883,4418.459961,4356.290039,4405.709961,4405.709961,3296180000
2023-08-28,4426.029785,4439.560059,4414.979980,4433.310059,4433.310059,2957230000
2023-08-29,4432.750000,4500.140137,4431.680176,4497.629883,4497.629883,3354820000
2023-08-30,4500.339844,4521.649902,4493.589844,4514.870117,4514.870117,3064110000
2023-08-31,4517.009766,4532.259766,4507.390137,4507.660156,4507.660156,3946360000
2023-09-01,4530.600098,4541.250000,4501.350098,4515.770020,4515.770020,3246260000
2023-09-05,4510.060059,4514.290039,4496.009766,4496.830078,4496.830078,3526250000
2023-09-06,4490.350098,4490.350098,4442.379883,4465.479980,4465.479980,3418850000
2023-09-07,4434.549805,4457.810059,4430.459961,4451.140137,4451.140137,3763760000
2023-09-08,4451.299805,4473.529785,4448.379883,4457.490234,4457.490234,3259290000
2023-09-11,4480.979980,4490.770020,4467.890137,4487.459961,4487.459961,3369920000
2023-09-12,4473.270020,4487.109863,4456.830078,4461.899902,4461.899902,3435740000
2023-09-13,4462.649902,4479.390137,4453.520020,4467.439941,4467.439941,3529430000
2023-09-14,4487.779785,4511.990234,4478.689941,4505.100098,4505.100098,3648720000
2023-09-15,4497.979980,4497.979980,4447.209961,4450.319824,4450.319824,6932230000
2023-09-18,4445.129883,4466.359863,4442.109863,4453.529785,4453.529785,3161230000
2023-09-19,4445.410156,4449.850098,4416.609863,4443.950195,4443.950195,3614880000
2023-09-20,4452.810059,4461.029785,4401.379883,4402.200195,4402.200195,3308450000
2023-09-21,4374.359863,4375.700195,4329.169922,4330.000000,4330.000000,3662340000
2023-09-22,4341.740234,4357.399902,4316.490234,4320.060059,4320.060059,3349570000
2023-09-25,4310.620117,4338.509766,4302.700195,4337.439941,4337.439941,3195650000
2023-09-26,4312.879883,4313.009766,4265.979980,4273.529785,4273.529785,3472340000
2023-09-27,4282.629883,4292.069824,4238.629883,4274.509766,4274.509766,3875880000
2023-09-28,4269.649902,4317.270020,4264.379883,4299.700195,4299.700195,3846230000
2023-09-29,4328.180176,4333.149902,4274.859863,4288.049805,4288.049805,3865960000
2023-10-02,4284.520020,4300.580078,4260.209961,4288.390137,4288.390137,3938660000
2023-10-03,4269.750000,4281.149902,4216.450195,4229.450195,4229.450195,3953830000
2023-10-04,4233.830078,4268.500000,4220.479980,4263.750000,4263.750000,3777600000
2023-10-05,4259.310059,4267.129883,4225.910156,4258.189941,4258.189941,3581470000
2023-10-06,4234.790039,4324.100098,4219.549805,4308.500000,4308.500000,3902030000
2023-10-09,4289.020020,4341.729980,4283.790039,4335.660156,4335.660156,3174630000
2023-10-10,4339.750000,4385.459961,4339.640137,4358.240234,4358.240234,3520240000
2023-10-11,4366.589844,4378.640137,4345.339844,4376.950195,4376.950195,3601660000
2023-10-12,4380.939941,4385.850098,4325.430176,4349.609863,4349.609863,3713140000
2023-10-13,4360.490234,4377.100098,4311.970215,4327.779785,4327.779785,3566560000
2023-10-16,4342.370117,4383.330078,4342.370117,4373.629883,4373.629883,3409960000
2023-10-17,4345.229980,4393.569824,4337.540039,4373.200195,4373.200195,3794850000
2023-10-18,4357.350098,4364.200195,4303.839844,4314.600098,4314.600098,3686030000
2023-10-19,4321.359863,4339.540039,4269.689941,4278.000000,4278.000000,3969730000
2023-10-20,4273.850098,4276.560059,4223.029785,4224.160156,4224.160156,4004030000
2023-10-23,4210.399902,4255.839844,4189.220215,4217.040039,4217.040039,3776100000
2023-10-24,4235.790039,4259.379883,4219.430176,4247.680176,4247.680176,3821820000
2023-10-25,4232.419922,4232.419922,4181.419922,4186.770020,4186.770020,3869370000
2023-10-26,4175.990234,4183.600098,4127.899902,4137.229980,4137.229980,4277640000
2023-10-27,4152.930176,4156.700195,4103.779785,4117.370117,4117.370117,4019500000
2023-10-30,4139.390137,4177.470215,4132.939941,4166.819824,4166.819824,3911140000
2023-10-31,4171.330078,4195.549805,4153.120117,4193.799805,4193.799805,4249470000
2023-11-01,4201.270020,4245.640137,4197.740234,4237.859863,4237.859863,4224900000
2023-11-02,4268.259766,4319.720215,4268.259766,4317.779785,4317.779785,4669780000
2023-11-03,4334.229980,4373.620117,4334.229980,4358.339844,4358.339844,4570960000
2023-11-06,4364.270020,4372.209961,4347.529785,4365.979980,4365.979980,3656340000
2023-11-07,4366.209961,4386.259766,4355.410156,4378.379883,4378.379883,3791230000
2023-11-08,4384.370117,4391.200195,4359.759766,4382.779785,4382.779785,3729510000
2023-11-09,4391.410156,4393.399902,4343.939941,4347.350098,4347.350098,3900780000
2023-11-10,4364.149902,4418.029785,4353.339844,4415.240234,4415.240234,3665080000
2023-11-13,4406.660156,4421.759766,4393.819824,4411.549805,4411.549805,3326240000
2023-11-14,4458.970215,4508.669922,4458.970215,4495.700195,4495.700195,4700350000
2023-11-15,4505.299805,4521.169922,4495.310059,4502.879883,4502.879883,4347170000
2023-11-16,4497.080078,4511.990234,4487.830078,4508.240234,4508.240234,3964520000
2023-11-17,4509.549805,4520.120117,4499.660156,4514.020020,4514.020020,3777240000
2023-11-20,4511.700195,4557.109863,4510.359863,4547.379883,4547.379883,3644790000
2023-11-21,4538.770020,4542.140137,4525.509766,4538.189941,4538.189941,3511080000
2023-11-22,4553.040039,4568.430176,4545.049805,4556.620117,4556.620117,3042810000
2023-11-24,4555.839844,4560.310059,4552.799805,4559.339844,4559.339844,1639500000
2023-11-27,4554.859863,4560.520020,4546.319824,4550.430176,4550.430176,3403990000
2023-11-28,4545.549805,4568.140137,4540.509766,4554.890137,4554.890137,3586240000
2023-11-29,4571.839844,4587.640137,4547.149902,4550.580078,4550.580078,4418760000
2023-11-30,4554.870117,4569.890137,4537.240234,4567.799805,4567.799805,5399300000
2023-12-01,4559.430176,4599.390137,4554.709961,4594.629883,4594.629883,4397120000
2023-12-04,4564.370117,4572.370117,4546.720215,4569.779785,4569.779785,4369910000
2023-12-05,4557.250000,4578.560059,4551.680176,4567.180176,4567.180176,3909950000
2023-12-06,4586.229980,4590.740234,4546.500000,4549.339844,4549.339844,4245680000
2023-12-07,4568.839844,4590.919922,4565.220215,4585.589844,4585.589844,3818880000
2023-12-08,4576.200195,4609.229980,4574.060059,4604.370117,4604.370117,3707010000
2023-12-11,4593.390137,4623.709961,4593.390137,4622.439941,4622.439941,3823210000
2023-12-12,4618.299805,4643.930176,4608.089844,4643.700195,4643.700195,3808380000
2023-12-13,4646.200195,4709.689941,4643.229980,4707.089844,4707.089844,5063650000
2023-12-14,4721.040039,4738.569824,4694.339844,4719.549805,4719.549805,6314040000
2023-12-15,4714.229980,4725.529785,4704.689941,4719.189941,4719.189941,8218980000
2023-12-18,4725.580078,4749.520020,4725.580078,4740.560059,4740.560059,4060340000
2023-12-19,4743.720215,4768.689941,4743.720215,4768.370117,4768.370117,4026970000
